Column1,df_apt_idx,BLDID_ID,PNU,LA,LO,법정동,주번_부,cust_each_,아파트�,빌라(0),빌라(1),NUMPOINTS,age,cell_count,possible_chr_count,chr_count,sale,household,parking_space,point_count2
"6","6","10304",4146130000000000000.000000000000000,37.267155610000003,127.217583300000001,경기도 용인시 처인구 포곡읍 둔전리,"1470000",1794.237000000000080, 신원2차아파트,,,599.383999999999901,28.9491269644249,3,4,0,3,296,296,1
"7","7","63885",4146130000000000000.000000000000000,37.282952430000002,127.219692300000006,경기도 용인시 처인구 포곡읍 전대리,"1500002",3.945000000000000,이화아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"8","8","63887",4146130000000000000.000000000000000,37.282797360000004,127.219921499999998,경기도 용인시 처인구 포곡읍 전대리,"1500021",31.559999999999999,수성아파트,,,3.945000000000000,11,1,0,0,0,0,0,0
"9","9","37567",4146130000000000000.000000000000000,37.282429120000003,127.220314000000002,경기도 용인시 처인구 포곡읍 전대리,"1500028",33.796999999999997,태양아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"10","10","63888",4146130000000000000.000000000000000,37.282659709999997,127.220046800000006,경기도 용인시 처인구 포곡읍 전대리,"1500003",40.832999999999998,동화아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"11","11","63889",4146130000000000000.000000000000000,37.282358879999997,127.220818899999998,경기도 용인시 처인구 포곡읍 전대리,"1510002",24.722000000000001,롯데아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"12","12","63880",4146130000000000000.000000000000000,37.268876810000002,127.217606099999998,경기도 용인시 처인구 포곡읍 둔전리,"1520015",19.917999999999999,서광맨숀아파트,,,19.917999999999999,10.0554272517321,1,0,0,0,0,0,0
"13","13","63890",4146130000000000000.000000000000000,37.281983050000001,127.220912999999996,경기도 용인시 처인구 포곡읍 전대리,"1520005",8.970000000000002,원일아파트,,,8.970000000000002,12,1,0,0,0,0,0,0
"14","14","63881",4146130000000000000.000000000000000,37.271632689999997,127.217863899999998,경기도 용인시 처인구 포곡읍 둔전리,"1660002",59.118000000000002,일봉연립,,,20.010000000000002,7.77931034482758,1,0,0,0,0,0,0
"15","15","63882",4146130000000000000.000000000000000,37.272060480000000,127.218126900000001,경기도 용인시 처인구 포곡읍 둔전리,"1710007",377.949999999999989,광휘아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"16","16","63883",4146130000000000000.000000000000000,37.271783579999997,127.218952000000002,경기도 용인시 처인구 포곡읍 둔전리,"1750000",32.276000000000003,태영아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
