,행정동,유동인구,기업체 수,잠재수요지수,현재수요지수,잠재수요지수scaled,최종수요지수합
0,포곡읍,1.0,0.737591713422529,1.2936058576029157,0.6552463077398083,1.0,1.6552463077398083
1,역삼동,0.5699055003634601,0.6896849374190763,0.8444415802051565,0.6928282990704295,0.6294027027193142,1.3222310017897438
2,동천동,0.582505451902108,0.6763055675442382,0.8517157379546351,0.5575910444398926,0.6354044783225927,1.192995522762485
3,신갈동,0.7877392779258541,0.5131635735865343,0.9920092397104454,0.5216190282066004,0.7511581016471485,1.272777129853749
4,보정동,0.8557063242064453,0.7332757876564523,1.1475941838128547,0.4916385384580894,0.8795284166596645,1.371166955117754
5,성복동,0.6406590743881754,0.3672852826931376,0.7868607038908559,0.7212808587811892,0.5818937662100198,1.3031746249912088
6,유림동,0.7301914223406833,0.3129046180405697,0.8547462770873854,0.5297232317331126,0.6379049211859642,1.1676281529190768
7,모현읍,0.348073661255149,0.9533880017263704,0.7275794186833764,0.9670732781947295,0.5329818531689873,1.500055131363717
8,구갈동,0.4274291252725951,0.9305135951661632,0.7978294933193395,0.5563194465618329,0.5909439153897089,1.1472633619515418
9,양지면,0.8272352798643081,0.544669831678895,1.044046627023395,0.4221140895372519,0.794093205942296,1.216207295479548
10,죽전1동,0.3462563605524594,0.7194648252050064,0.6326466265700488,0.8511487116893799,0.4546545285109913,1.3058032402003712
11,중앙동,0.5878362006299975,1.0,0.9858963364204922,0.3871127387514795,0.7461144560328542,1.1332271947843338
12,서농동,0.3412890719651078,0.2261545101424255,0.4313121669820345,1.0,0.2885371181838321,1.288537118183832
13,기흥동,0.6793070026653744,0.3590850237375916,0.8222444359746931,0.4395094938794279,0.6110882416788728,1.0505977355583007
14,마북동,0.5545190210806882,0.2278808804488562,0.6452293152962174,0.5298495586697212,0.4650362767244915,0.9948858353942128
15,상현1동,0.4594136176399321,0.4587829089339663,0.642036804668545,0.5149767885460612,0.4624021941188804,0.9773789826649416
16,남사읍,0.623939907923431,0.4138972809667673,0.7886959157883789,0.3542660594762497,0.5834079662552676,0.9376740257315171
17,구성동,0.5302883450448267,0.3590850237375916,0.6732257783541454,0.4290949326442497,0.4881356505277619,0.9172305831720116
18,보라동,0.3362006299975769,0.3707380233059991,0.4837766578974625,0.4878733807443512,0.3318246179135729,0.819697998657924
19,동백2동,0.4560213229949115,0.7319810099266293,0.7473937832023689,0.3094756153528196,0.549330325893968,0.8588059412467877
20,풍덕천1동,0.3405621516840319,0.6922744928787224,0.616129030323632,0.4573384751923998,0.4410261594831604,0.8983646346755603
21,영덕1동,0.4419675308941119,0.6383254208027621,0.6960594345773841,0.3107989606050574,0.5069752860668876,0.817774246671945
22,이동읍,0.4543251756724012,0.5571860164005179,0.6761187170213563,0.3396498728758222,0.4905225617431383,0.8301724346189605
23,풍덕천2동,0.4044099830385267,0.349158394475615,0.5433960209558811,0.4575744887992445,0.3810154728565624,0.838589961655807
24,신봉동,0.2034165253210564,0.2762192490289167,0.3133683970974555,0.4759699094716719,0.1912238531941212,0.6671937626657931
25,죽전2동,0.4317906469590501,0.3798014674147604,0.5829744706515988,0.1936065247808295,0.4136709337333043,0.6072774585141338
26,동백1동,0.3540101768839351,0.1320673284419508,0.4065809155770259,0.2458989137668133,0.2681318112832814,0.5140307250500947
27,영덕2동,0.234795250787497,0.1074665515753129,0.2775734009005022,0.169562705613805,0.1616900511660138,0.3312527567798188
28,상하동,0.0940150230191422,0.092360811394044,0.1307801801443757,0.2361050780370261,0.0405736276015183,0.2766787056385444
29,동백3동,0.1808819966077053,0.0,0.1808819966077053,0.1889334084441104,0.08191172750059,0.2708451359447005
30,백암면,0.1432032953719409,0.2429866206301252,0.2399265825752419,0.1177287115588377,0.1306283442925543,0.248357055851392
31,동부동,0.1571359340925611,0.3047043590850237,0.2784265926459013,0.0,0.1623940041979401,0.1623940041979401
32,상갈동,0.1572570874727405,0.0720759602934829,0.1859476540143946,0.0486472657415601,0.0860913095340171,0.1347385752755772
33,상현2동,0.0,0.2050064738886491,0.0816049048340461,0.1859214029276191,0.0,0.1859214029276191
34,원삼면,0.1047976738551005,0.1773845489857574,0.1754073915115068,0.0664392128262497,0.0773947301470059,0.1438339429732556
